domain,PaliGemma-3B,Gemini-1.5-Flash,Gemini-1.5-Pro,Qwen-2-VL-7B,CogVLM-2-Llama-3-19B,LLaVA-v1.6-Mistral-7B,Qwen-2-VL-2B,InternVL-2-1B,GPT-4o-Mini,InternVL-2-8B,num_instances,best_model
Anthropology,16.59751037344398,71.91489361702128,74.68879668049793,21.991701244813278,63.17991631799163,60.58091286307054,20.33195020746888,46.47302904564315,82.15767634854771,73.85892116182573,241.0,GPT-4o-Mini
Books,10.683760683760683,63.793103448275865,72.22222222222221,20.94017094017094,66.23376623376623,40.598290598290596,21.367521367521366,55.55555555555556,66.95278969957081,70.51282051282051,234.0,Gemini-1.5-Pro
Computer Science,16.182572614107883,63.29113924050633,69.64656964656965,18.04979253112033,63.82536382536382,37.136929460580916,12.863070539419086,48.96265560165975,65.61181434599156,65.76763485477179,482.0,Gemini-1.5-Pro
Economics,8.91891891891892,60.39325842696629,67.57493188010899,10.54054054054054,66.57608695652173,17.83783783783784,9.72972972972973,49.72972972972973,54.46927374301676,66.48648648648648,370.0,Gemini-1.5-Pro
Fiction,24.074074074074073,62.96296296296296,70.37037037037037,29.629629629629626,57.407407407407405,61.111111111111114,22.22222222222222,53.70370370370371,83.33333333333334,81.48148148148148,54.0,GPT-4o-Mini
Formal logic,14.432989690721648,58.333333333333336,63.91752577319587,22.68041237113402,50.0,37.5,23.711340206185564,31.958762886597935,58.76288659793815,56.70103092783505,97.0,Gemini-1.5-Pro
Government and Politics,14.572864321608039,66.45077720207254,70.27707808564232,21.85929648241206,66.96315120711563,34.2964824120603,16.70854271356784,46.10552763819096,62.724935732647815,66.95979899497488,796.0,Gemini-1.5-Pro
History,18.465227817745802,64.8780487804878,70.1923076923077,23.980815347721823,63.85542168674698,42.20623501199041,19.424460431654676,45.80335731414868,68.56435643564357,65.46762589928058,417.0,Gemini-1.5-Pro
Justice,10.714285714285714,64.81481481481481,73.21428571428571,32.142857142857146,62.5,46.42857142857143,23.214285714285715,41.07142857142857,71.42857142857143,66.07142857142857,56.0,Gemini-1.5-Pro
Knowledge Base,13.054187192118228,64.75716064757161,71.78217821782178,20.19704433497537,63.44485749690211,38.30049261083744,18.59605911330049,47.9064039408867,69.40298507462687,68.96551724137932,812.0,Gemini-1.5-Pro
Law,14.039408866995073,67.91979949874687,70.79207920792079,23.39901477832512,65.17412935323384,38.17733990147783,17.980295566502463,47.29064039408867,62.34413965087282,65.27093596059113,406.0,Gemini-1.5-Pro
Linguistics,20.88888888888889,63.63636363636363,75.0,21.333333333333336,58.03571428571429,44.888888888888886,17.77777777777778,48.0,79.46428571428571,67.55555555555556,225.0,GPT-4o-Mini
Mathematics,12.688172043010754,52.993348115299334,62.795698924731184,15.698924731182796,60.0,23.70689655172414,13.118279569892474,33.33333333333333,50.440528634361236,57.8494623655914,465.0,Gemini-1.5-Pro
Movies,20.88607594936709,66.2420382165605,76.58227848101265,32.91139240506329,63.29113924050633,51.89873417721519,22.78481012658228,53.79746835443038,78.06451612903226,69.62025316455697,158.0,GPT-4o-Mini
Nature,22.22222222222222,74.3421052631579,78.1413612565445,29.411764705882355,61.498028909329825,61.04575163398693,25.916230366492147,50.98039215686274,84.32147562582345,71.98952879581152,765.0,GPT-4o-Mini
News,11.351351351351353,70.78651685393258,71.73913043478261,17.83783783783784,68.50828729281768,31.891891891891895,17.83783783783784,54.59459459459459,62.77777777777778,68.10810810810811,185.0,Gemini-1.5-Pro
Nutrition and Food,21.553398058252426,69.2156862745098,75.72815533980582,23.25581395348837,67.05426356589147,49.8062015503876,18.992248062015506,42.82945736434108,78.55750487329435,67.44186046511628,516.0,GPT-4o-Mini
Other,23.64066193853428,67.45843230403801,71.63120567375887,24.349881796690305,58.90736342042755,52.95508274231678,19.38534278959811,48.46335697399527,78.0952380952381,68.32151300236407,423.0,GPT-4o-Mini
Professions,17.550058892815077,70.23809523809523,75.02944640753827,24.352941176470587,64.62264150943396,47.17647058823529,17.88235294117647,51.52941176470588,75.1486325802616,69.6470588235294,850.0,GPT-4o-Mini
Public Places,21.72413793103448,75.0,82.35294117647058,24.82758620689655,66.55172413793103,60.3448275862069,18.33910034602076,54.48275862068965,82.41379310344827,77.58620689655173,290.0,GPT-4o-Mini
Reviews,23.18840579710145,69.11764705882352,70.0,24.285714285714285,60.0,50.0,18.571428571428573,52.85714285714286,72.46376811594203,64.28571428571429,70.0,GPT-4o-Mini
Science,18.791064388961892,68.78306878306879,74.3421052631579,24.310118265440213,63.936591809775436,43.62680683311432,21.419185282522996,48.75164257555847,71.56084656084656,67.27989487516426,761.0,Gemini-1.5-Pro
Social Media,21.515892420537895,73.26732673267327,74.26470588235294,29.584352078239608,63.882063882063875,56.723716381418086,23.4718826405868,51.34474327628362,82.06388206388206,70.4156479217604,409.0,GPT-4o-Mini
Sports,21.36222910216718,69.98420221169036,78.79256965944272,29.256965944272444,64.49612403100775,60.526315789473685,22.325581395348838,51.547987616099064,81.46417445482867,73.52941176470588,646.0,GPT-4o-Mini
