knowledge_type,PaliGemma-3B,Gemini-1.5-Flash,Gemini-1.5-Pro,Qwen-2-VL-7B,CogVLM-2-Llama-3-19B,LLaVA-v1.6-Mistral-7B,Qwen-2-VL-2B,InternVL-2-1B,GPT-4o-Mini,InternVL-2-8B,num_instances,best_model
Commonsense Knowledge,19.88202637057599,71.2429775280899,76.31944444444444,25.251474158862298,63.909249563699824,53.33102012491325,21.09646079111728,49.94797086368366,78.40670859538784,71.0617626648161,2883.0,GPT-4o-Mini
Cultural Knowledge,15.57112068965517,70.2127659574468,75.76902320561251,23.263327948303715,66.70276123443422,49.649973074851914,18.69612068965517,48.35756596661282,75.31266992930941,70.54388799138395,1857.0,Gemini-1.5-Pro
Geographical Knowledge,19.195612431444243,73.27746741154563,78.49954254345836,24.77148080438757,64.98161764705883,51.37111517367459,19.945105215004574,56.58135283363802,78.11918063314711,70.99725526075022,1094.0,Gemini-1.5-Pro
Literary Knowledge,13.240418118466899,67.97153024911033,73.77622377622379,20.905923344947734,71.57894736842105,41.46341463414634,17.421602787456447,44.25087108013937,66.78321678321679,68.6411149825784,287.0,Gemini-1.5-Pro
Mathematical Knowledge,12.4,54.29740791268759,63.67292225201072,16.133333333333333,60.512129380053906,22.933333333333334,11.333333333333332,38.13333333333333,50.884353741496604,61.199999999999996,750.0,Gemini-1.5-Pro
Other,20.0,63.30275229357798,67.5925925925926,16.363636363636363,57.27272727272727,45.45454545454545,13.636363636363635,41.81818181818181,76.85185185185185,62.727272727272734,110.0,GPT-4o-Mini
Scientific Knowledge,18.984547461368653,67.86516853932584,74.22222222222223,21.63355408388521,68.80530973451327,35.76158940397351,16.777041942604857,41.72185430463576,66.59242761692651,69.5364238410596,453.0,Gemini-1.5-Pro
Social Knowledge,19.22685656154629,70.63081695966909,74.23625254582484,27.87385554425229,63.57142857142857,55.03560528992879,21.486761710794298,48.11800610376399,77.19836400817995,70.09155645981689,983.0,GPT-4o-Mini
Technical Knowledge,15.311510031678988,64.19354838709678,71.86836518046708,24.287222808870116,61.317747077577046,42.13305174234424,17.740232312565997,46.14572333685322,72.1030042918455,69.16578669482577,947.0,GPT-4o-Mini
Temporal Knowledge,10.141206675224646,63.421052631578945,69.44801026957637,16.153846153846153,67.31016731016732,25.128205128205128,12.692307692307692,49.61538461538461,58.94736842105262,68.71794871794872,780.0,Gemini-1.5-Pro
Visual Knowledge,19.54070981210856,67.8662150719729,73.80952380952381,24.133611691022967,60.268794624107514,52.92397660818714,21.97159565580618,52.0250521920668,77.81512605042018,68.67167919799499,2395.0,GPT-4o-Mini
