,bert_score_precision,bert_score_recall,bert_score_f1,rouge1,rouge2,rougeL,user_input,GOEval_referenced_mini,GOEval_referenced,GOEval_referenceless,GOEval_referenceless_mini,GOEval_referenced_imageless_mini,GOEval_referenced_imageless,GOEval_referenceless_imageless,GOEval_referenceless_imageless_mini
bert_score_precision,1.0,0.5418676373013985,0.7815708112775254,0.6085523616395866,0.3501898725346483,0.6080692551769433,0.4519747108207312,0.2175448265290805,0.1342515957162357,0.24189987196705523,0.02905901864617785,0.39607878441851235,0.4070664306063315,0.003097869170176044,0.023977221782027533
bert_score_recall,0.5418676373013985,1.0,0.9471786361910007,0.7338566291937805,0.5037768604343285,0.7340536798170533,0.18689638683793922,-0.0062507282724580246,-0.0194516343876638,-0.027070648678999294,-0.17960596264239378,0.06273466796350273,0.03238076368549119,0.11232734479275362,-0.17647290626088255
bert_score_f1,0.7815708112775254,0.9471786361910007,1.0,0.7761073450151332,0.5077336880029495,0.7760252417942385,0.30822558321623694,0.07805510020675506,0.03409343596710426,0.07250321260699158,-0.12067135056906854,0.19540988992987132,0.17751566613318767,0.08578738886950463,-0.12012026682880551
rouge1,0.6085523616395866,0.7338566291937805,0.7761073450151332,1.0,0.6117706941373698,0.9997412407309624,0.5213688823661204,0.33442352545910814,0.3048180459535001,0.16038719059474468,-0.026970212447956488,0.43815137628628675,0.3873488238292581,0.08192723697322202,-0.11316102125958794
rouge2,0.3501898725346483,0.5037768604343285,0.5077336880029495,0.6117706941373698,1.0,0.61193677764855,0.28829886999310816,0.17531191057467135,0.1457936430146671,0.02007875339267243,-0.026298567677379977,0.21405380804393703,0.22856803944599652,0.17138140755300066,-0.031606353179103916
rougeL,0.6080692551769433,0.7340536798170533,0.7760252417942385,0.9997412407309624,0.61193677764855,1.0,0.5217478387069278,0.33439304561733063,0.30361742124233704,0.1604894305775615,-0.027314396459915517,0.4381771181826284,0.38788586282556314,0.08160314237622679,-0.1148099605676202
user_input,0.4519747108207312,0.18689638683793922,0.30822558321623694,0.5213688823661204,0.28829886999310816,0.5217478387069278,1.0,0.567131533561381,0.5243320769077312,0.35948387852508246,0.2437867216202689,0.7179617032433683,0.7095382499064282,0.16172323027355032,0.10845292411152466
GOEval_referenced_mini,0.2175448265290805,-0.0062507282724580246,0.07805510020675506,0.33442352545910814,0.17531191057467135,0.33439304561733063,0.567131533561381,1.0,0.6083457573335849,0.3975312382888061,0.42590638266843034,0.6782548741777832,0.6407892585758346,0.12409720165864976,0.16056981507171125
GOEval_referenced,0.1342515957162357,-0.0194516343876638,0.03409343596710426,0.3048180459535001,0.1457936430146671,0.30361742124233704,0.5243320769077312,0.6083457573335849,1.0,0.39094525084167353,0.25535930356192016,0.6251419947519337,0.62636317678605,0.09874759327656227,0.07124674461812529
GOEval_referenceless,0.24189987196705523,-0.027070648678999294,0.07250321260699158,0.16038719059474468,0.02007875339267243,0.1604894305775615,0.35948387852508246,0.3975312382888061,0.39094525084167353,1.0,0.494795984577799,0.4308820172107855,0.4433874940128715,0.1953208438777216,0.23778907576202724
GOEval_referenceless_mini,0.02905901864617785,-0.17960596264239378,-0.12067135056906854,-0.026970212447956488,-0.026298567677379977,-0.027314396459915517,0.2437867216202689,0.42590638266843034,0.25535930356192016,0.494795984577799,1.0,0.3322084815405634,0.31855240424765796,0.2103298064190679,0.25366723744292213
GOEval_referenced_imageless_mini,0.39607878441851235,0.06273466796350273,0.19540988992987132,0.43815137628628675,0.21405380804393703,0.4381771181826284,0.7179617032433683,0.6782548741777832,0.6251419947519337,0.4308820172107855,0.3322084815405634,1.0,0.8198971696846477,0.18441911910126887,0.17034434991454905
GOEval_referenced_imageless,0.4070664306063315,0.03238076368549119,0.17751566613318767,0.3873488238292581,0.22856803944599652,0.38788586282556314,0.7095382499064282,0.6407892585758346,0.62636317678605,0.4433874940128715,0.31855240424765796,0.8198971696846477,1.0,0.19963013307385571,0.1897126236609263
GOEval_referenceless_imageless,0.003097869170176044,0.11232734479275362,0.08578738886950463,0.08192723697322202,0.17138140755300066,0.08160314237622679,0.16172323027355032,0.12409720165864976,0.09874759327656227,0.1953208438777216,0.2103298064190679,0.18441911910126887,0.19963013307385571,1.0,0.3989369457058293
GOEval_referenceless_imageless_mini,0.023977221782027533,-0.17647290626088255,-0.12012026682880551,-0.11316102125958794,-0.031606353179103916,-0.1148099605676202,0.10845292411152466,0.16056981507171125,0.07124674461812529,0.23778907576202724,0.25366723744292213,0.17034434991454905,0.1897126236609263,0.3989369457058293,1.0
