,bert_score_precision,bert_score_recall,bert_score_f1,rouge1,rouge2,rougeL,user_input,GOEval_referenced_mini,GOEval_referenced,GOEval_referenceless,GOEval_referenceless_mini,GOEval_referenced_imageless_mini,GOEval_referenced_imageless,GOEval_referenceless_imageless,GOEval_referenceless_imageless_mini
bert_score_precision,1.0,0.3182473991950793,0.5912438992399505,0.4712320455679758,0.2270928269213193,0.47049211468549124,0.36219906489735204,0.17735263749636923,0.1271044582339573,0.18202425101058575,0.006510795451111293,0.3143733677062795,0.32838502399892316,-0.011645142953802753,0.004902946574464906
bert_score_recall,0.3182473991950793,1.0,0.7270034999551287,0.3518784779880101,0.3369775448621793,0.3497461522722835,0.12686765171260922,-0.013427942926755096,-0.018788390248544822,-0.023468915750202345,-0.1334713067477815,0.028658004443165755,0.006619363807254597,0.11718067528073142,-0.1246976128776864
bert_score_f1,0.5912438992399505,0.7270034999551287,1.0,0.5055744161969601,0.3523690785725236,0.5034296277112833,0.285068381101374,0.09055752814372035,0.0642176974846957,0.10074595449677025,-0.06095930740964262,0.2001736905178884,0.1908314151262179,0.09439174582123484,-0.06117765725708842
rouge1,0.4712320455679758,0.3518784779880101,0.5055744161969601,1.0,0.5036498032660601,0.9954747469510582,0.5807858256991563,0.39330944121841044,0.3677853967897476,0.24429847421432863,0.0631534036762499,0.5216614818110636,0.48689196800709716,0.07875960615130745,-0.017529476071470998
rouge2,0.2270928269213193,0.3369775448621793,0.3523690785725236,0.5036498032660601,1.0,0.5044644556200498,0.2976609212981706,0.1890793448037538,0.18998049588845664,0.06515323086298497,-0.0025633051455405307,0.24394831377006304,0.24815190532670015,0.16552443683647033,-0.008939121108815395
rougeL,0.47049211468549124,0.3497461522722835,0.5034296277112833,0.9954747469510582,0.5044644556200498,1.0,0.5835407626983898,0.39324556164821145,0.36702266731370764,0.24448098711060434,0.06241282382208367,0.5248468997225392,0.4914018089335053,0.07973567524658397,-0.020087750598152987
user_input,0.36219906489735204,0.12686765171260922,0.285068381101374,0.5807858256991563,0.2976609212981706,0.5835407626983898,1.0,0.5671315335613807,0.5243320769077309,0.3594838785250825,0.24378672162026857,0.7179617032433679,0.7095382499064279,0.16172323027355032,0.10845292411152473
GOEval_referenced_mini,0.17735263749636923,-0.013427942926755096,0.09055752814372035,0.39330944121841044,0.1890793448037538,0.39324556164821145,0.5671315335613807,1.0,0.6083457573335846,0.39753123828880604,0.4259063826684302,0.6782548741777827,0.6407892585758345,0.12409720165864971,0.1605698150717111
GOEval_referenced,0.1271044582339573,-0.018788390248544822,0.0642176974846957,0.3677853967897476,0.18998049588845664,0.36702266731370764,0.5243320769077309,0.6083457573335846,1.0,0.39094525084167375,0.2553593035619201,0.6251419947519341,0.6263631767860501,0.09874759327656216,0.07124674461812533
GOEval_referenceless,0.18202425101058575,-0.023468915750202345,0.10074595449677025,0.24429847421432863,0.06515323086298497,0.24448098711060434,0.3594838785250825,0.39753123828880604,0.39094525084167375,1.0,0.4947959845777988,0.43088201721078573,0.4433874940128708,0.19532084387772164,0.2377890757620276
GOEval_referenceless_mini,0.006510795451111293,-0.1334713067477815,-0.06095930740964262,0.0631534036762499,-0.0025633051455405307,0.06241282382208367,0.24378672162026857,0.4259063826684302,0.2553593035619201,0.4947959845777988,1.0,0.3322084815405633,0.31855240424765785,0.2103298064190679,0.25366723744292236
GOEval_referenced_imageless_mini,0.3143733677062795,0.028658004443165755,0.2001736905178884,0.5216614818110636,0.24394831377006304,0.5248468997225392,0.7179617032433679,0.6782548741777827,0.6251419947519341,0.43088201721078573,0.3322084815405633,1.0,0.819897169684648,0.1844191191012689,0.1703443499145491
GOEval_referenced_imageless,0.32838502399892316,0.006619363807254597,0.1908314151262179,0.48689196800709716,0.24815190532670015,0.4914018089335053,0.7095382499064279,0.6407892585758345,0.6263631767860501,0.4433874940128708,0.31855240424765785,0.819897169684648,1.0,0.1996301330738555,0.1897126236609264
GOEval_referenceless_imageless,-0.011645142953802753,0.11718067528073142,0.09439174582123484,0.07875960615130745,0.16552443683647033,0.07973567524658397,0.16172323027355032,0.12409720165864971,0.09874759327656216,0.19532084387772164,0.2103298064190679,0.1844191191012689,0.1996301330738555,1.0,0.3989369457058292
GOEval_referenceless_imageless_mini,0.004902946574464906,-0.1246976128776864,-0.06117765725708842,-0.017529476071470998,-0.008939121108815395,-0.020087750598152987,0.10845292411152473,0.1605698150717111,0.07124674461812533,0.2377890757620276,0.25366723744292236,0.1703443499145491,0.1897126236609264,0.3989369457058292,1.0
