,bert_score_precision,bert_score_recall,bert_score_f1,rouge1,rouge2,rougeL,user_input,GOEval_referenced_mini,GOEval_referenced,GOEval_referenceless,GOEval_referenceless_mini,GOEval_referenced_imageless_mini,GOEval_referenced_imageless,GOEval_referenceless_imageless,GOEval_referenceless_imageless_mini
bert_score_precision,1.0,0.5418676373013984,0.7815708112775259,0.6085523616395867,0.3501898725346483,0.6080692551769434,0.45197471082073126,0.2175448265290805,0.13425159571623574,0.24189987196705529,0.029059018646177864,0.3960787844185125,0.40706643060633146,0.0030978691701760356,0.02397722178202752
bert_score_recall,0.5418676373013984,1.0,0.9471786361910005,0.7338566291937805,0.5037768604343285,0.7340536798170533,0.18689638683793922,-0.006250728272458012,-0.01945163438766378,-0.027070648678999335,-0.17960596264239387,0.06273466796350269,0.03238076368549119,0.11232734479275362,-0.1764729062608825
bert_score_f1,0.7815708112775259,0.9471786361910005,1.0,0.7761073450151335,0.5077336880029497,0.7760252417942387,0.30822558321623694,0.07805510020675503,0.03409343596710431,0.07250321260699162,-0.12067135056906873,0.1954098899298713,0.17751566613318778,0.08578738886950464,-0.12012026682880539
rouge1,0.6085523616395867,0.7338566291937805,0.7761073450151335,1.0,0.6117706941373697,0.9997412407309624,0.5213688823661204,0.3344235254591082,0.3048180459535002,0.16038719059474468,-0.026970212447956495,0.43815137628628686,0.3873488238292582,0.08192723697322199,-0.1131610212595879
rouge2,0.3501898725346483,0.5037768604343285,0.5077336880029497,0.6117706941373697,1.0,0.6119367776485499,0.28829886999310816,0.17531191057467138,0.14579364301466707,0.020078753392672417,-0.026298567677379977,0.2140538080439371,0.22856803944599652,0.1713814075530007,-0.03160635317910393
rougeL,0.6080692551769434,0.7340536798170533,0.7760252417942387,0.9997412407309624,0.6119367776485499,1.0,0.5217478387069276,0.33439304561733074,0.3036174212423371,0.1604894305775615,-0.027314396459915548,0.4381771181826285,0.38788586282556314,0.08160314237622682,-0.11480996056762019
user_input,0.45197471082073126,0.18689638683793922,0.30822558321623694,0.5213688823661204,0.28829886999310816,0.5217478387069276,1.0,0.5671315335613811,0.5243320769077312,0.3594838785250824,0.24378672162026896,0.7179617032433683,0.7095382499064282,0.1617232302735503,0.10845292411152466
GOEval_referenced_mini,0.2175448265290805,-0.006250728272458012,0.07805510020675503,0.3344235254591082,0.17531191057467138,0.33439304561733074,0.5671315335613811,1.0,0.6083457573335849,0.3975312382888061,0.4259063826684303,0.6782548741777831,0.6407892585758345,0.12409720165864976,0.1605698150717112
GOEval_referenced,0.13425159571623574,-0.01945163438766378,0.03409343596710431,0.3048180459535002,0.14579364301466707,0.3036174212423371,0.5243320769077312,0.6083457573335849,1.0,0.3909452508416735,0.25535930356192027,0.6251419947519337,0.6263631767860502,0.09874759327656228,0.0712467446181253
GOEval_referenceless,0.24189987196705529,-0.027070648678999335,0.07250321260699162,0.16038719059474468,0.020078753392672417,0.1604894305775615,0.3594838785250824,0.3975312382888061,0.3909452508416735,1.0,0.4947959845777991,0.43088201721078556,0.44338749401287164,0.19532084387772153,0.23778907576202726
GOEval_referenceless_mini,0.029059018646177864,-0.17960596264239387,-0.12067135056906873,-0.026970212447956495,-0.026298567677379977,-0.027314396459915548,0.24378672162026896,0.4259063826684303,0.25535930356192027,0.4947959845777991,1.0,0.3322084815405634,0.3185524042476579,0.21032980641906787,0.2536672374429223
GOEval_referenced_imageless_mini,0.3960787844185125,0.06273466796350269,0.1954098899298713,0.43815137628628686,0.2140538080439371,0.4381771181826285,0.7179617032433683,0.6782548741777831,0.6251419947519337,0.43088201721078556,0.3322084815405634,1.0,0.8198971696846475,0.18441911910126893,0.17034434991454905
GOEval_referenced_imageless,0.40706643060633146,0.03238076368549119,0.17751566613318778,0.3873488238292582,0.22856803944599652,0.38788586282556314,0.7095382499064282,0.6407892585758345,0.6263631767860502,0.44338749401287164,0.3185524042476579,0.8198971696846475,1.0,0.19963013307385577,0.18971262366092634
GOEval_referenceless_imageless,0.0030978691701760356,0.11232734479275362,0.08578738886950464,0.08192723697322199,0.1713814075530007,0.08160314237622682,0.1617232302735503,0.12409720165864976,0.09874759327656228,0.19532084387772153,0.21032980641906787,0.18441911910126893,0.19963013307385577,1.0,0.39893694570582916
GOEval_referenceless_imageless_mini,0.02397722178202752,-0.1764729062608825,-0.12012026682880539,-0.1131610212595879,-0.03160635317910393,-0.11480996056762019,0.10845292411152466,0.1605698150717112,0.0712467446181253,0.23778907576202726,0.2536672374429223,0.17034434991454905,0.18971262366092634,0.39893694570582916,1.0
