,bert_score_precision,bert_score_recall,bert_score_f1,rouge1,rouge2,rougeL,user_input,GOEval_referenced_mini,GOEval_referenced,GOEval_referenceless,GOEval_referenceless_mini,GOEval_referenced_imageless_mini,GOEval_referenced_imageless,GOEval_referenceless_imageless,GOEval_referenceless_imageless_mini
bert_score_precision,1.0,0.43912882946440873,0.7704243338464243,0.6072448243508322,0.27860242619866094,0.6066661760863804,0.4429916477079358,0.21691314176123164,0.15545653990035163,0.22262681131116255,0.00796310174239274,0.3844978898417794,0.4016350039587209,-0.014242723311175659,0.005996604056009167
bert_score_recall,0.43912882946440873,1.0,0.8815948449147668,0.47426630842528755,0.4055523012854837,0.4724362903509469,0.1551669110159985,-0.016423196907306127,-0.022979352407608695,-0.02870392186420267,-0.16324358571905115,0.0350504952625905,0.008095887493759862,0.1433191453347656,-0.15251282056619264
bert_score_f1,0.7704243338464243,0.8815948449147668,1.0,0.6297167062085457,0.42249284349931404,0.6280632414329176,0.34865609575585266,0.11075740522994856,0.07854217853604152,0.12321847488778336,-0.07455696783807349,0.24482468781477543,0.23339851262497943,0.11544688836573302,-0.07482402307943421
rouge1,0.6072448243508322,0.47426630842528755,0.6297167062085457,1.0,0.551535807610668,0.998543628745581,0.6682462549324985,0.45253783665846475,0.42317013113698104,0.281087335908938,0.07266366296403845,0.6002183871190977,0.560212938712442,0.09062000056081299,-0.02016923660557296
rouge2,0.27860242619866094,0.4055523012854837,0.42249284349931404,0.551535807610668,1.0,0.5519053925097883,0.31201227195406844,0.19819556996099535,0.199140168923082,0.06829451275649467,-0.0026868917111578213,0.2557099779400203,0.2601162404290068,0.17350499143799503,-0.009370109701569365
rougeL,0.6066661760863804,0.4724362903509469,0.6280632414329176,0.998543628745581,0.5519053925097883,1.0,0.6714051868869979,0.45245701189749704,0.42228570528652165,0.2812927790721516,0.07181039666987259,0.6038737194052839,0.5653927616606573,0.0917415703625213,-0.0231123870115364
user_input,0.4429916477079358,0.1551669110159985,0.34865609575585266,0.6682462549324985,0.31201227195406844,0.6714051868869979,1.0,0.5671315335613808,0.5243320769077309,0.3594838785250825,0.24378672162026857,0.7179617032433679,0.7095382499064279,0.16172323027355032,0.10845292411152474
GOEval_referenced_mini,0.21691314176123164,-0.016423196907306127,0.11075740522994856,0.45253783665846475,0.19819556996099535,0.45245701189749704,0.5671315335613808,1.0,0.6083457573335846,0.39753123828880604,0.4259063826684301,0.6782548741777827,0.6407892585758344,0.12409720165864972,0.16056981507171106
GOEval_referenced,0.15545653990035163,-0.022979352407608695,0.07854217853604152,0.42317013113698104,0.199140168923082,0.42228570528652165,0.5243320769077309,0.6083457573335846,1.0,0.39094525084167375,0.2553593035619201,0.625141994751934,0.62636317678605,0.09874759327656217,0.07124674461812533
GOEval_referenceless,0.22262681131116255,-0.02870392186420267,0.12321847488778336,0.281087335908938,0.06829451275649467,0.2812927790721516,0.3594838785250825,0.39753123828880604,0.39094525084167375,1.0,0.4947959845777988,0.4308820172107858,0.44338749401287075,0.19532084387772164,0.23778907576202762
GOEval_referenceless_mini,0.00796310174239274,-0.16324358571905115,-0.07455696783807349,0.07266366296403845,-0.0026868917111578213,0.07181039666987259,0.24378672162026857,0.4259063826684301,0.2553593035619201,0.4947959845777988,1.0,0.33220848154056337,0.3185524042476578,0.2103298064190679,0.25366723744292236
GOEval_referenced_imageless_mini,0.3844978898417794,0.0350504952625905,0.24482468781477543,0.6002183871190977,0.2557099779400203,0.6038737194052839,0.7179617032433679,0.6782548741777827,0.625141994751934,0.4308820172107858,0.33220848154056337,1.0,0.8198971696846479,0.1844191191012689,0.17034434991454914
GOEval_referenced_imageless,0.4016350039587209,0.008095887493759862,0.23339851262497943,0.560212938712442,0.2601162404290068,0.5653927616606573,0.7095382499064279,0.6407892585758344,0.62636317678605,0.44338749401287075,0.3185524042476578,0.8198971696846479,1.0,0.19963013307385546,0.18971262366092637
GOEval_referenceless_imageless,-0.014242723311175659,0.1433191453347656,0.11544688836573302,0.09062000056081299,0.17350499143799503,0.0917415703625213,0.16172323027355032,0.12409720165864972,0.09874759327656217,0.19532084387772164,0.2103298064190679,0.1844191191012689,0.19963013307385546,1.0,0.3989369457058292
GOEval_referenceless_imageless_mini,0.005996604056009167,-0.15251282056619264,-0.07482402307943421,-0.02016923660557296,-0.009370109701569365,-0.0231123870115364,0.10845292411152474,0.16056981507171106,0.07124674461812533,0.23778907576202762,0.25366723744292236,0.17034434991454914,0.18971262366092637,0.3989369457058292,1.0
